DATE,TIME PERIOD,(LFSI.M.AT.N.UNEHRT.TOTAL0.15_74.T),(LFSI.M.BE.N.UNEHRT.TOTAL0.15_74.T),(LFSI.M.BG.N.UNEHRT.TOTAL0.15_74.T),(LFSI.M.CY.N.UNEHRT.TOTAL0.15_74.T),(LFSI.M.CZ.N.UNEHRT.TOTAL0.15_74.T),(LFSI.M.DE.N.UNEHRT.TOTAL0.15_74.T),(LFSI.M.DK.N.UNEHRT.TOTAL0.15_74.T),(LFSI.M.EE.N.UNEHRT.TOTAL0.15_74.T),(LFSI.M.ES.N.UNEHRT.TOTAL0.15_74.T),(LFSI.M.FI.N.UNEHRT.TOTAL0.15_74.T),(LFSI.M.FR.N.UNEHRT.TOTAL0.15_74.T),(LFSI.M.GB.N.UNEHRT.TOTAL0.15_74.T),(LFSI.M.GR.N.UNEHRT.TOTAL0.15_74.T),(LFSI.M.HR.N.UNEHRT.TOTAL0.15_74.T),(LFSI.M.HU.N.UNEHRT.TOTAL0.15_74.T),(LFSI.M.IE.N.UNEHRT.TOTAL0.15_74.T),(LFSI.M.IT.N.UNEHRT.TOTAL0.15_74.T),(LFSI.M.LT.N.UNEHRT.TOTAL0.15_74.T),(LFSI.M.LU.N.UNEHRT.TOTAL0.15_74.T),(LFSI.M.LV.N.UNEHRT.TOTAL0.15_74.T),(LFSI.M.MT.N.UNEHRT.TOTAL0.15_74.T),(LFSI.M.NL.N.UNEHRT.TOTAL0.15_74.T),(LFSI.M.PL.N.UNEHRT.TOTAL0.15_74.T),(LFSI.M.PT.N.UNEHRT.TOTAL0.15_74.T),(LFSI.M.RO.N.UNEHRT.TOTAL0.15_74.T),(LFSI.M.SE.N.UNEHRT.TOTAL0.15_74.T),(LFSI.M.SI.N.UNEHRT.TOTAL0.15_74.T),(LFSI.M.SK.N.UNEHRT.TOTAL0.15_74.T),(LFSI.M.U2.N.UNEHRT.TOTAL0.15_74.T)
1986-09-30,1986Sep,,10.317680,,,,,4.523032,,19.983947,,,11.468477,,,,16.754803,8.995707,,2.275714,,,7.382281,,,,3.069382,,,
1986-10-31,1986Oct,,10.395195,,,,,4.573776,,19.998107,,,11.187473,,,,16.427713,9.271194,,2.344047,,,7.450684,,,,2.452300,,,
1986-11-30,1986Nov,,10.342229,,,,,4.697134,,20.127819,,,11.142091,,,,16.424294,9.281537,,2.396374,,,7.450095,,,,2.684680,,,
1986-12-31,1986Dec,,10.291528,,,,,4.876524,,20.124062,,,11.186871,,,,16.804676,9.286820,,2.528708,,,6.974502,,,,2.645125,,,
1987-01-31,1987Jan,,10.343569,,,,,5.355517,,20.420907,,,11.413137,,,,17.171432,9.486558,,2.691874,,,7.816548,,,,2.580843,,,
1987-02-28,1987Feb,,10.137769,,,,,5.767087,,20.376633,,,11.215488,,,,17.107839,9.536008,,2.788100,,,8.023392,,,,2.514299,,,
1987-03-31,1987mar,,9.842559,,,,,5.757660,,20.218199,,,10.957900,,,,16.832241,9.443187,,2.784723,,,8.084536,,,,2.629846,,,
1987-04-30,1987Apr,,9.623564,,,,,5.547091,,20.002408,,,10.828840,,,,16.679609,9.306428,,2.608041,,,7.565769,,,,2.222293,,,
1987-05-31,1987May,,9.405172,,,,,5.095522,,19.688785,,,10.443863,,,,16.558873,9.510412,,2.376344,,,7.408814,,,,2.031389,,,
1987-06-30,1987Jun,,9.260762,,,,,4.661221,,19.516915,,,10.201961,,,,16.472497,9.739575,,2.238521,,,7.524503,,,,1.847460,,,
1987-07-31,1987Jul,,9.628179,,,,,4.455899,,19.495833,,,10.202254,,,,16.586248,9.577300,,2.204963,,,6.815662,,,,2.004164,,,
1987-08-31,1987Aug,,10.046524,,,,,4.495766,,19.375054,,,10.075548,,,,16.679010,9.652834,,2.208793,,,6.944259,,,,2.680611,,,
1987-09-30,1987Sep,,10.032677,,,,,4.627623,,19.472702,,,10.064828,,,,16.488406,9.756182,,2.292121,,,7.400639,,,,2.154113,,,
1987-10-31,1987Oct,,9.961262,,,,,4.734327,,19.405871,,,9.659151,,,,16.167002,9.860253,,2.390946,,,7.507241,,,,1.931896,,,
1987-11-30,1987Nov,,9.818659,,,,,4.834852,,19.331440,,,9.428938,,,,16.149384,9.867503,,2.410754,,,7.517617,,,,1.972454,,,
1987-12-31,1987Dec,,9.704352,,,,,4.972405,,19.337042,,,9.437169,,,,16.511234,9.801662,,2.443394,,,7.064622,,,,1.784381,,,
1988-01-31,1988Jan,,9.646231,,,,,5.433698,,19.604550,5.199176,,9.513996,,,,16.838823,9.911049,,2.510935,,,7.888371,,,,2.382291,,,
1988-02-29,1988Feb,,9.450394,,,,,5.864703,,19.540048,4.133993,,9.322518,,,,16.860348,9.971695,,2.512976,,,8.130046,,,,1.862098,,,
1988-03-31,1988mar,,9.139551,,,,,5.939399,,19.401910,5.147609,,9.067676,,,,16.728479,9.844161,,2.335879,,,8.137906,,,,2.043291,,,
1988-04-30,1988Apr,,8.843671,,,,,5.829272,,19.261800,5.421403,,8.866245,,,,16.482634,9.587037,,2.096367,,,7.609022,,,,1.760070,,,
1988-05-31,1988May,,8.558725,,,,,5.480501,,19.050002,8.165417,,8.515414,,,,16.166844,9.502241,,1.889477,,,7.433103,,,,1.636548,,,
1988-06-30,1988Jun,,8.336969,,,,,5.189039,,18.869794,3.156316,,8.294495,,,,16.084739,9.471278,,1.745224,,,7.496275,,,,1.389309,,,
1988-07-31,1988Jul,,8.649741,,,,,5.117238,,18.664998,3.115162,,8.367859,,,,16.292355,9.392338,,1.746237,,,6.749415,,,,1.821336,,,
1988-08-31,1988Aug,,9.033860,,,,,5.297015,,18.435028,3.176870,,8.333321,,,,16.380176,9.475664,,1.764741,,,6.840316,,,,1.908293,,,
1988-09-30,1988Sep,,8.891205,,,,,5.542126,,18.197279,3.196437,,8.468156,,,,16.058120,9.476166,,1.808538,,,7.218918,,,,1.995721,,,
1988-10-31,1988Oct,,8.637369,,,,,5.778202,,17.882261,3.552279,,7.870892,,,,15.635055,9.770146,,1.875911,,,7.264944,,,,1.842763,,,
1988-11-30,1988Nov,,8.405196,,,,,6.053743,,17.678750,3.020201,,7.744118,,,,15.460363,9.980484,,1.894374,,,7.213234,,,,1.691997,,,
1988-12-31,1988Dec,,8.246098,,,,,6.350298,,17.648887,3.205051,,7.715342,,,,15.612562,9.924401,,1.902633,,,6.710456,,,,1.303763,,,
1989-01-31,1989Jan,,8.113540,,,,,6.930612,,17.784184,3.591510,,7.888263,,,,15.818592,9.992405,,1.917049,,,7.388007,,,,1.922011,,,
1989-02-28,1989Feb,,7.866649,,,,,7.325105,,17.633991,2.984837,,7.748562,,,,15.676644,10.029047,,1.902321,,,7.533474,,,,1.790369,,,
1989-03-31,1989mar,,7.600183,,,,,7.400633,,17.352456,3.893890,,7.563038,,,,15.431571,9.874591,,1.850997,,,7.470338,,,,1.612568,,,
1989-04-30,1989Apr,,7.290613,,,,,7.224842,,16.988589,4.588181,,7.253436,,,,15.115282,9.726507,,1.742296,,,6.934538,,,,1.706987,,,
1989-05-31,1989May,,6.986572,,,,,6.837627,,16.527624,6.417767,,6.953107,,,,14.758875,9.775942,,1.598807,,,6.742952,,,,1.300948,,,
1989-06-30,1989Jun,,6.823262,,,,,6.509686,,16.236611,2.094489,,6.773503,,,,14.717594,9.806438,,1.566625,,,6.730285,,,,1.070166,,,
1989-07-31,1989Jul,,7.136207,,,,,6.262845,,15.927694,2.098081,,6.993738,,,,14.733113,9.679059,,1.631774,,,6.032320,,,,1.342121,,,
1989-08-31,1989Aug,,7.596553,,,,,6.423190,,15.894336,2.404647,,6.971544,,,,14.673573,9.650350,,1.704238,,,6.117188,,,,1.556946,,,
1989-09-30,1989Sep,,7.552458,,,,,6.621002,,15.812381,2.158103,,6.875033,,,,14.369730,9.551499,,1.780842,,,6.434304,,,,1.665318,,,
1989-10-31,1989Oct,,7.331118,,,,,6.723256,,16.090409,2.225100,,6.657970,,,,13.904067,9.489215,,1.908808,,,6.472477,,,,1.711989,,,
1989-11-30,1989Nov,,7.162997,,,,,6.803658,,16.145469,2.482382,,6.608667,,,,13.704358,9.449399,,1.949864,,,6.435637,,,,1.489813,,,
1989-12-31,1989Dec,,7.061915,,,,,6.876908,,16.195668,2.257158,,6.755376,,,,13.864336,9.323754,,1.932214,,,6.008433,,,,1.501355,,,
1990-01-31,1990Jan,,6.997067,,,,,7.365648,,16.139147,2.901979,,7.000898,,,,14.075110,9.254950,,2.007479,,,6.631253,,,,1.845561,,,
